繁体字	规范字	异体字
蛔		蚘痐蛕蜖
蛙		鼃
蛺	蛱	
蜂		䗬蠭
蜆	蚬	
蝀	𬟽	
蝎		蠍
蝕	蚀	
蝦	虾	
蝶		蜨
蝸	蜗	
螂		蜋
螄	蛳	
融		螎
螞	蚂	
螢	萤	
螮	䗖	
螻	蝼	
蟄	蛰	
蟆		蟇
蟈	蝈	
蟎	螨	
蟣	虮	
蟬	蝉	
蟯	蛲	
蟲	虫	
蟶	蛏	
蟹		蠏
蟻	蚁	
蠅	蝇	
蠆	虿	
蠐	蛴	
蠑	蝾	
蠕		蝡
蠟	蜡	
蠢		惷
蠣	蛎	
蠨	蟏	
蠱	蛊	
蠶	蚕	
蠻	蛮	
衄		衂䶊
衆	众	眾
衊	蔑	
術	术	
衛	卫	
衝	冲	
表		
衹	只	祇秖
衽		袵
袒		襢
裊	袅	嫋褭嬝
裏	里	裡
裙		帬裠
補	补	
裝	装	
裸		躶臝
製	制	
複	复	
褌	裈	
褒		襃
褓		緥
褘	袆	
褲	裤	袴
褳	裢	
褸	褛	
褻	亵	
襀	𫌀	
襁		繦
襇	裥	
襏	袯	
襖	袄	
襝	裣	
襠	裆	
襤	褴	
襪	袜	韈韤
襬	摆	
襯	衬	
襲	袭	
襴	襕	
見	见	
覎	觃	
規	规	槼
覓	觅	覔
視	视	眎眡
覘	觇	
覡	觋	
覦	觎	
親	亲	
覬	觊	
覯	觏	
覲	觐	
覷	觑	
覺	觉	
覽	览	
覿	觌	
觀	观	
觴	觞	
觶	觯	
觸	触	
訂	订	
訃	讣	
計	计	
訊	讯	
訌	讧	
討	讨	
訏	𬣙	
訐	讦	
訒	讱	
訓	训	
訕	讪	
訖	讫	
記	记	
訛	讹	譌
訝	讶	
訟	讼	
訢	䜣	
訣	诀	
訥	讷	
訩	讻	
訪	访	
設	设	
許	许	
訴	诉	愬
訶	诃	
診	诊	
詁	诂	
詆	诋	
詎	讵	
詐	诈	
詒	诒	
詔	诏	
評	评	
詖	诐	
詗	诇	
詘	诎	
詛	诅	
詝	𬣞	
詞	词	䛐
詡	诩	
詢	询	
詣	诣	
試	试	
詩	诗	
詪	𬣳	
詫	诧	
詬	诟	
詭	诡	
詮	诠	
詰	诘	
